AgentID,AgentName,Team,ExperienceLevel,Location
A0001,Agent 01,L2 Applications,Mid,Noida
A0002,Agent 02,Access Management,Junior,Remote
A0003,Agent 03,Hardware,Senior,Hyderabad
A0004,Agent 04,Network,Mid,Bengaluru
A0005,Agent 05,L1 Support,Junior,Bengaluru
A0006,Agent 06,L1 Support,Mid,Hyderabad
A0007,Agent 07,L1 Support,Junior,Noida
A0008,Agent 08,Security,Senior,Remote
A0009,Agent 09,Network,Junior,Bengaluru
A0010,Agent 10,Hardware,Senior,Pune
A0011,Agent 11,L1 Support,Mid,Hyderabad
A0012,Agent 12,Access Management,Junior,Bengaluru
A0013,Agent 13,Security,Junior,Bengaluru
A0014,Agent 14,L1 Support,Senior,Hyderabad
A0015,Agent 15,L1 Support,Mid,Remote
A0016,Agent 16,L1 Support,Mid,Hyderabad
A0017,Agent 17,L1 Support,Mid,Pune
A0018,Agent 18,L2 Applications,Junior,Chennai
A0019,Agent 19,L2 Applications,Mid,Hyderabad
A0020,Agent 20,L1 Support,Junior,Remote
A0021,Agent 21,Network,Senior,Remote
A0022,Agent 22,L1 Support,Mid,Hyderabad
A0023,Agent 23,L1 Support,Junior,Pune
A0024,Agent 24,L2 Applications,Junior,Hyderabad
A0025,Agent 25,L2 Applications,Junior,Hyderabad
A0026,Agent 26,Hardware,Junior,Bengaluru
A0027,Agent 27,L1 Support,Mid,Chennai
A0028,Agent 28,L2 Applications,Mid,Pune
A0029,Agent 29,Network,Senior,Bengaluru
A0030,Agent 30,L1 Support,Mid,Hyderabad
A0031,Agent 31,Network,Junior,Remote
A0032,Agent 32,L1 Support,Mid,Bengaluru
A0033,Agent 33,L1 Support,Mid,Bengaluru
A0034,Agent 34,Access Management,Mid,Pune
A0035,Agent 35,Access Management,Mid,Remote
A0036,Agent 36,Hardware,Mid,Bengaluru
A0037,Agent 37,L1 Support,Mid,Chennai
A0038,Agent 38,L1 Support,Mid,Noida
A0039,Agent 39,Network,Junior,Bengaluru
A0040,Agent 40,L2 Applications,Junior,Chennai
A0041,Agent 41,L1 Support,Junior,Hyderabad
A0042,Agent 42,L2 Applications,Mid,Chennai
A0043,Agent 43,L1 Support,Junior,Chennai
A0044,Agent 44,Access Management,Mid,Pune
A0045,Agent 45,L1 Support,Senior,Bengaluru
A0046,Agent 46,Network,Junior,Noida
A0047,Agent 47,L1 Support,Mid,Hyderabad
A0048,Agent 48,L2 Applications,Mid,Bengaluru
A0049,Agent 49,L2 Applications,Junior,Bengaluru
A0050,Agent 50,L1 Support,Junior,Chennai
A0051,Agent 51,Access Management,Junior,Chennai
A0052,Agent 52,Hardware,Junior,Bengaluru
A0053,Agent 53,Access Management,Senior,Pune
A0054,Agent 54,Security,Senior,Bengaluru
A0055,Agent 55,Network,Mid,Chennai
A0056,Agent 56,Access Management,Senior,Bengaluru
A0057,Agent 57,L1 Support,Senior,Chennai
A0058,Agent 58,Level 1 Support,Junior,Hyderabad
A0059,Agent 59,L1 Support,Senior,Remote
A0060,Agent 60,L1 Support,Mid,Bengaluru
