TicketID,Status,ChangeDate,ActionType
T0001183,In Progress,2024-10-30 02:11:59.752797,Status Change
T0000673,In Progress,2024-09-05 09:35:47.488809,Status Change
T0003868,Open,2025-08-02 23:13:48.524794,Assigned
T0000103,Resolved,2024-07-11 15:23:39.254168,Status Change
T0004069,Open,2025-08-25 03:35:48.524794,Assigned
T0001152,Open,2024-10-25 18:01:48.524794,Assigned
T0003291,Pending User,2025-06-05 07:50:18.075243,Status Change
T0004786,In Progress,2025-11-09 12:21:28.231042,Status Change
T0001395,Open,2024-11-21 09:23:48.524794,Assigned
T0004055,In Progress,2025-08-24 17:12:14.273550,Status Change
T0003366,Pending User,2025-06-13 11:28:41.386882,Status Change
T0001143,Open,2024-10-24 11:14:48.524794,Assigned
T0004361,Pending User,2025-09-26 22:33:29.456196,Status Change
T0000482,Pending User,2024-08-17 07:24:25.027993,Status Change
T0004060,Open,2025-08-24 12:44:48.524794,Created
T0002397,Resolved,2025-03-04 16:10:44.220853,Status Change
T0004709,Open,2025-10-30 23:14:48.524794,Assigned
T0002177,Resolved,2025-02-09 16:47:34.856321,Status Change
T0004501,In Progress,2025-10-10 08:00:36.060816,Status Change
T0001585,Open,2024-12-10 07:58:48.524794,Assigned
T0002592,Open,2025-03-24 19:34:48.524794,Assigned
T0001605,Closed,2024-12-14 16:38:33.311015,Closed
T0000646,Pending User,2024-09-03 13:26:35.441625,Status Change
T0000602,Pending User,2024-08-29 20:33:26.231729,Status Change
T0001151,Open,2024-10-25 16:53:48.524794,Assigned
T0000185,Open,2024-07-19 09:37:48.524794,Assigned
T0003031,Closed,2025-05-09 20:01:00.084951,Closed
T0000920,Closed,2024-09-30 21:02:02.772539,Closed
T0002496,In Progress,2025-03-15 08:01:05.820065,Status Change
T0002303,Open,2025-02-20 19:00:48.524794,Created
T0000572,Open,2024-08-25 05:13:48.524794,Created
T0001299,Open,2024-11-10 01:26:48.524794,Created
T0001938,Open,2025-01-16 07:04:48.524794,Created
T0001942,Closed,2025-01-16 22:01:58.152119,Closed
T0000072,Resolved,2024-07-09 09:47:26.625939,Status Change
T0003381,Open,2025-06-14 04:36:48.524794,Created
T0001843,Closed,2025-01-06 21:35:34.811373,Closed
T0003778,In Progress,2025-07-26 06:51:56.643462,Status Change
T0003705,Open,2025-07-16 03:13:48.524794,Assigned
T0004036,Pending User,2025-08-21 19:29:58.807867,Status Change
T0004743,In Progress,2025-11-05 08:09:09.470383,Status Change
T0005076,Open,2025-12-08 12:14:48.524794,Assigned
T0004393,Open,2025-09-27 06:09:48.524794,Assigned
T0000967,Resolved,2024-10-07 03:51:14.001289,Status Change
T0003226,In progress,2025-05-31 15:14:01.967380,Status Change
T0002131,Open,2025-02-04 00:29:48.524794,Created
T0000629,Resolved,2024-09-03 02:51:26.779206,Status Change
T0002388,Resolved,2025-03-03 11:54:52.607890,Status Change
T0003587,Closed,2025-07-04 07:41:55.153007,Closed
T0004660,Pending User,2025-10-27 13:09:30.738952,Status Change
T0002996,Pending User,2025-05-08 01:15:48.157846,Status Change
T0003649,Closed,2025-07-10 08:17:14.771810,Closed
T0003138,Open,2025-05-19 21:46:48.524794,Created
T0000084,Resolved,2024-07-09 18:15:09.810132,STATUS CHANGE
T0003651,Open,2025-07-10 08:11:48.524794,Created
T0003843,Open,2025-08-01 06:58:48.524794,Assigned
T0001536,Open,2024-12-05 02:17:48.524794,Created
T0001036,PENDING USER,2024-10-15 04:30:01.976356,Status Change
T0000232,In Progress,2024-07-24 18:59:01.737202,Status Change
T0003677,Open,2025-07-13 04:35:48.524794,Assigned
T0004433,Resolved,2025-10-02 06:31:56.104605,Status Change
T0004608,In Progress,2025-10-20 04:27:45.633133,Status Change
T0000673,Open,2024-09-04 22:52:48.524794,Assigned
T0001088,Closed,2024-10-19 03:06:32.731750,Closed
T0004943,In Progress,2025-11-27 17:10:40.755831,Status Change
T0000852,Resolved,2024-09-26 11:05:35.226846,Status Change
T0001076,In Progress,2024-10-18 12:11:37.271259,Status Change
T0001448,Open,2024-11-25 21:16:48.524794,Assigned
T0005165,Open,2025-12-17 13:11:48.524794,Created
T0004250,In Progress,2025-09-14 01:42:36.344681,Status Change
T0005039,Closed,2025-12-05 01:41:01.589154,Closed
T0005072,Pending User,2025-12-08 05:09:10.321576,Status Change
T0004343,Closed,2025-09-21 23:28:17.709515,Closed
T0004408,Pending User,2025-09-30 02:59:25.412879,Status Change
