TicketID,CreatedDate,ClosedDate,Priority,Status,CategoryID,CategoryText,Department,AssignedAgentID,FirstResponseMinutes,ReopenedFlag
T0000099,2024-07-09 22:03:48.524794,,P3,In Progress,C003,Wifi Issue,Sales,A0005,42.0,0
T0001214,2024-11-01 02:48:48.524794,2024-11-01 20:06:07.993964,P2,Closed,C001,Outlook Issue,Customer Support,A0029,203.0,0
T0002828,2025-04-19 04:48:48.524794,2025-04-19 18:42:53.140609,P-3,Resolved,C012,Teams Issue,Marketing,A0013,34.0,0
T0001573,2024-12-08 12:34:48.524794,2024-12-08 21:10:26.235656,P3,Closed,C002,remote access,Procurement,A0003,,0
T0001324,2024-11-12 02:18:48.524794,2024-11-13 01:29:43.060865,P3,Closed,C011,PERFORMANCE ISSUE,HR,A0008,28.0,0
T0003598,2025-07-05 22:12:48.524794,2025-07-08 02:14:05.303885,P4,Resolved,C001,outlook issue,Sales,A0012,26.0,0
T0001105,2024-10-20 07:46:48.524794,2024-10-20 22:42:26.994417,P3,Closed,C003,LAN CONNECTIVITY ,IT,A0015,171.0,0
T0004999,2025-12-01 15:18:48.524794,,P3,Pending User,C009,NEW ACCESS,IT,A0060,6.0,0
T0001520,2024-12-02 20:28:48.524794,2024-12-08 11:41:53.014740,P4,Resolved,C008,APPLICATION FAILURE,HR,A0029,46.0,1
T0004839,2025-11-15 10:28:48.524794,2025-11-16 04:44:56.243000,P3,Resolved,C004,PASSWORD RESET / ACCOUNT LOCK ,Legal,A0053,57.0,0
T0001475,2024-11-28 13:50:48.524794,2024-11-28 21:55:12.776020,Medium,Resolved,C006,Replace Laptop,Procurement,A0056,38.0,0
T0001243,2024-11-04 11:59:48.524794,2024-11-07 04:56:20.613099,P4,Closed,C002,VPN / Remote Access,HR,A0023,7.0,0
T0002607,2025-03-26 14:05:48.524794,2025-03-27 02:56:59.629012,P3,Closed,C004,Account Locked,Operations,A0029,152.0,0
T0000557,2024-08-23 12:42:48.524794,2024-08-24 12:11:04.370336,P-3,Closed,C005,SOFTWARE INSTALL,IT,A0033,40.0,0
T0003013,2025-05-07 22:35:48.524794,2025-05-08 16:21:43.366259,P3,Resolved,C002,VPN,Finance,A0006,2.0,0
T0001165,2024-10-26 16:58:48.524794,2024-10-27 22:15:09.826563,P-3,Closed,C011,Performance / Slowness,Procurement,A0026,40.0,0
T0001701,2024-12-23 02:22:48.524794,2024-12-30 05:40:28.479767,P4,Closed,C006,Replace Laptop,Customer Support,A0006,,0
T0004118,2025-08-31 13:21:48.524794,,P3,In Progress,C010,Security Incident ,Engineering,A0021,55.0,0
T0002361,2025-02-27 01:23:48.524794,2025-02-27 02:26:46.187447,P1,Resolved,C011,Performance / Slowness,Procurement,A0005,40.0,0
T0004889,2025-11-20 15:02:48.524794,2025-11-21 09:16:47.525349,P3,Resolved,C012,MS Teams / Collaboration,Engineering,A0058,98.0,0
T0004444,2025-10-02 22:20:48.524794,2025-10-09 06:49:51.463330,P4,Closed,C003,Wi-Fi / LAN Connectivity,HR,A0004,14.0,1
T0002869,2025-04-23 00:26:48.524794,2025-04-23 23:07:54.909892,P3,Resolved,C012,Teams Issue,Operations,A0021,19.0,0
T0001295,2024-11-09 20:36:48.524794,2024-11-10 13:52:00.727846,P2,Closed,C012,Teams Issue,Operations,A0055,158.0,0
T0002330,2025-02-23 13:08:48.524794,2025-02-24 05:26:07.805870,P3,Closed,C004,Password Reset / Account Lock,Sales,A0037,80.0,0
T0000358,2024-08-04 11:07:48.524794,,P4,Open,C001,Outlook Issue,Customer Support,A0024,38.0,0
T0002634,2025-03-29 04:59:48.524794,2025-03-29 11:30:35.908260,P3,Closed,C005,Software Install,Engineering,A0024,17.0,0
T0002906,2025-04-26 19:22:48.524794,2025-04-27 14:10:12.156309,P3,Closed,C011,Slowness,Cust Support,A0030,102.0,0
T0004570,2025-10-15 22:45:48.524794,2025-10-16 15:53:27.013459,P3,Closed,C004,PASSWORD RESET / ACCOUNT LOCK,Finance,A0004,36.0,0
T0000792,2024-09-17 10:52:48.524794,,P4,Pending User,C007,printer issue,Engineering,A0015,1.0,0
T0002378,2025-02-28 17:49:48.524794,2025-03-03 05:55:55.526582,P4,Closed,C001,email issue,Engineering,A0012,39.0,0
T0002464,2025-03-10 23:40:48.524794,2025-03-11 18:58:49.550655,P4,Closed,C010,Security Alert,IT,A0011,6.0,0
T0001262,2024-11-06 08:54:48.524794,2024-11-06 18:44:42.392113,P3,Closed,C010,Alert - Security,Procurement,A0016,108.0,0
T0000643,2024-09-01 22:18:48.524794,2024-09-02 07:31:23.045881,P3,Closed,C001,Email Issue,Procurement,A0060,13.0,0
T0002763,2025-04-12 12:59:48.524794,,P4,Pending User,C002,remote access ,Operations,A0016,55.0,0
T0004599,2025-10-18 05:44:48.524794,,P3,Open,C002,VPN / Remote Access,Operations,A0025,29.0,0
T0004772,2025-11-07 09:42:48.524794,2025-11-08 08:19:58.477520,P3,Closed,C006,Hardware Replace,Engineering,A0027,21.0,1
T0000092,2024-07-09 09:29:48.524794,,P2,Open,C004,Password Reset / Account Lock,Marketing,A0017,111.0,0
T0003923,2025-08-09 07:46:48.524794,2025-08-10 05:27:32.884076,P3,Resolved,C011,Performance / Slowness,Engineering,A0018,132.0,0
T0004558,2025-10-14 08:28:48.524794,2025-10-19 17:58:29.082721,Low,Closed,C004,Account Locked,Marketing,A0019,64.0,0
T0003122,2025-05-18 07:06:48.524794,2025-05-24 11:20:56.901482,P4,Closed,C002,Remote Access ,Engineering,A0043,20.0,0
T0001866,2025-01-07 20:20:48.524794,2025-01-09 20:40:35.415469,P-4,CLOSED,C012,Collaboration Tool,Procurement,A0052,11.0,0
T0004253,2025-09-13 02:31:48.524794,2025-09-15 13:31:47.398787,Medium,Closed,C008,Application Failure,Finance,A0024,41.0,0
T0005000,2025-12-01 16:41:48.524794,2025-12-02 11:17:43.295514,P3,Resolved,C007,Printer / Peripheral,Customer Support,A0037,82.0,0
T0001199,2024-10-30 17:14:48.524794,2024-10-30 21:37:45.900413,P2,Closed,C012,MS Teams / Collaboration,Finance,A0025,19.0,0
T0004346,2025-09-21 16:07:48.524794,2025-09-22 01:40:20.547466,P3,Resolved,C003,Wi-Fi / LAN Connectivity,Engineering,A0016,9.0,0
T0000997,2024-10-07 21:00:48.524794,2024-10-09 20:43:23.580481,P3,resolved,C007,Printer Issue,Engineering,A0018,27.0,1
T0004140,2025-09-02 16:27:48.524794,2025-09-02 18:51:43.846116,P2,Closed,C005,Software Install,Marketing,A0040,90.0,0
T0001862,2025-01-07 12:31:48.524794,2025-01-08 20:39:15.826977,P3,Closed,C002,VPN,Finance,A0010,183.0,0
T0000338,2024-08-02 07:40:48.524794,2024-08-02 10:31:27.411309,P2,Closed,C005,Install Software,Cust Support,A0052,114.0,0
